A	Z	Atomic Mass [micro-u]
1	0	1008664.916
1	1	1007825.032
2	1	2014101.778
3	1	3016049.281
4	1	4026431.867
5	1	5035311.492
6	1	6044955.437
7	1	7052749
3	2	3016029.322
4	2	4002603.254
5	2	5012057.224
6	2	6018885.889
7	2	7027990.652
8	2	8033934.388
9	2	9043946.414
10	2	10052815.31
3	3	3030775
4	3	4027185.561
5	3	5012537.8
6	3	6015122.887
7	3	7016003.434
8	3	8022486.244
9	3	9026790.191
10	3	10035483.45
11	3	11043723.58
12	3	12052613.94
13	3	13061171.5
5	4	5039870
6	4	6019726.409
7	4	7016928.714
8	4	8005305.102
9	4	9012183.062
10	4	10013534.69
11	4	11021661.08
12	4	12026922.08
13	4	13036134.51
14	4	14042892.92
15	4	15053490.22
16	4	16061672.04
6	5	6050800
7	5	7029712
8	5	8024607.315
9	5	9013329.645
10	5	10012936.86
11	5	11009305.17
12	5	12014352.64
13	5	13017779.98
14	5	14025404.01
15	5	15031087.02
16	5	16039841.05
17	5	17046931.4
18	5	18055601.68
19	5	19064166
20	5	20074505.64
21	5	21084147.49
8	6	8037643.039
9	6	9031037.202
10	6	10016853.22
11	6	11011432.6
12	6	12000000
13	6	13003354.84
14	6	14003241.99
15	6	15010599.26
16	6	16014701.26
17	6	17022578.65
18	6	18026751.93
19	6	19034797.59
20	6	20040261.73
21	6	21049000
22	6	22057553.99
23	6	23068890
10	7	10041653.54
11	7	11026157.59
12	7	12018613.18
13	7	13005738.61
14	7	14003074
15	7	15000108.9
16	7	16006101.93
17	7	17008448.88
18	7	18014077.56
19	7	19017022.39
20	7	20023367.3
21	7	21027087.57
22	7	22034100.92
23	7	23039421
24	7	24050390
25	7	25060100
11	8	11051249.83
12	8	12034367.73
13	8	13024815.44
14	8	14008596.71
15	8	15003065.64
16	8	15994914.62
17	8	16999131.76
18	8	17999159.61
19	8	19003577.97
20	8	20004075.36
21	8	21008654.95
22	8	22009965.74
23	8	23015696.69
24	8	24019861
25	8	25029338.92
26	8	26037210.16
27	8	27047955
28	8	28055910
13	9	13045121
14	9	14034315.2
15	9	15017785.14
16	9	16011460.28
17	9	17002095.24
18	9	18000937.32
19	9	18998403.16
20	9	19999981.25
21	9	20999948.89
22	9	22002998.81
23	9	23003526.88
24	9	24008099.37
25	9	25012167.73
26	9	26020048.07
27	9	27026981.9
28	9	28035860.45
29	9	29043103
30	9	30052561
31	9	31061023
15	10	15043172.98
16	10	16025750.86
17	10	17017713.96
18	10	18005708.7
19	10	19001880.91
20	10	19992440.18
21	10	20993846.69
22	10	21991385.11
23	10	22994466.91
24	10	23993610.65
25	10	24997814.8
26	10	26000516.5
27	10	27007569.46
28	10	28012130.77
29	10	29019753
30	10	30024992.24
31	10	31033474.82
32	10	32039720
33	10	33049523
34	10	34056728
17	11	17037273
18	11	18026879.39
19	11	19013880.26
20	11	20007354.3
21	11	20997654.46
22	11	21994437.55
23	11	22989769.28
24	11	23990963.01
25	11	24989953.97
26	11	25992634.65
27	11	26994076.41
28	11	27998939
29	11	29002877.09
30	11	30009097.93
31	11	31013146.65
32	11	32020011.02
33	11	33025529
34	11	34034010
35	11	35040614
36	11	36049279
37	11	37057042
38	11	38066458
39	11	39075123
19	12	19034179.92
20	12	20018763.08
21	12	21011705.76
22	12	21999570.6
23	12	22994123.77
24	12	23985041.69
25	12	24985836.97
26	12	25982592.97
27	12	26984340.65
28	12	27983875.43
29	12	28988607.16
30	12	29990465.45
31	12	30996648.23
32	12	31999110.14
33	12	33005327.86
34	12	34008935.46
35	12	35016790
36	12	36021879
37	12	37030286.27
38	12	38036580
39	12	39045921
40	12	40053194
41	12	41062373
21	13	21029082
22	13	22019540
23	13	23007244.35
24	13	23999947.6
25	13	24990428.31
26	13	25986891.88
27	13	26981538.41
28	13	27981910.01
29	13	28980453.16
30	13	29982969.17
31	13	30983949.75
32	13	31988084.34
33	13	32990877.69
34	13	33996781.92
35	13	34999759.82
36	13	36006388
37	13	37010531
38	13	38017681
39	13	39023070
40	13	40030940
41	13	41037134
42	13	42045078
43	13	43051820
22	14	22036114
23	14	23025711
24	14	24011535.43
25	14	25004108.8
26	14	25992333.82
27	14	26986704.69
28	14	27976926.53
29	14	28976494.66
30	14	29973770.14
31	14	30975363.2
32	14	31974151.54
33	14	32977976.96
34	14	33978538.05
35	14	34984550.11
36	14	35986649.27
37	14	36992945.19
38	14	37995523
39	14	39002491
40	14	40006083.64
41	14	41014171
42	14	42018078
43	14	43026119
44	14	44031466
45	14	45039818
24	15	24036522
25	15	25021675
26	15	26011780
27	15	26999292.5
28	15	27992326.46
29	15	28981800.37
30	15	29978313.49
31	15	30973762
32	15	31973907.64
33	15	32971725.69
34	15	33973645.89
35	15	34973314.05
36	15	35978259.61
37	15	36979606.94
38	15	37984303.11
39	15	38986285.87
40	15	39991262.22
41	15	40994654
42	15	42001172.14
43	15	43005411
44	15	44011927
45	15	45017134
46	15	46024520
47	15	47030929
26	16	26029716
27	16	27018777
28	16	28004372.76
29	16	28996678
30	16	29984906.77
31	16	30979557
32	16	31972071.17
33	16	32971458.91
34	16	33967867.01
35	16	34969032.32
36	16	35967080.69
37	16	36971125.5
38	16	37971163.3
39	16	38975133.85
40	16	39975482.56
41	16	40979593.45
42	16	41981065.1
43	16	42986907.64
44	16	43990118.85
45	16	44996414
46	16	46000687
47	16	47007730
48	16	48013301
49	16	49021891
28	17	28030349
29	17	29015053
30	17	30005018.33
31	17	30992448.1
32	17	31985684.61
33	17	32977451.99
34	17	33973762.49
35	17	34968852.69
36	17	35968306.82
37	17	36965902.57
38	17	37968010.41
39	17	38968008.15
40	17	39970415.47
41	17	40970684.53
42	17	41973342
43	17	42974063.7
44	17	43978014.92
45	17	44980394.35
46	17	45985254.93
47	17	46989715
48	17	47995405
49	17	49000794
50	17	50008266
51	17	51015341
52	17	52024004
29	18	29040761
30	18	30023694
31	18	31012158
32	18	31997637.82
33	18	32989925.55
34	18	33980270.09
35	18	34975257.72
36	18	35967545.11
37	18	36966776.3
38	18	37962732.1
39	18	38964313.04
40	18	39962383.12
41	18	40964500.57
42	18	41963045.74
43	18	42965636.06
44	18	43964923.81
45	18	44968039.73
46	18	45968039.24
47	18	46972767.11
48	18	47976001
49	18	48981685
50	18	49985797
51	18	50993033
52	18	51998519
53	18	53007290
54	18	54013484
31	19	31036780
32	19	32023607
33	19	33008095
34	19	33998690
35	19	34988005.41
36	19	35981301.89
37	19	36973375.89
38	19	37969081.11
39	19	38963706.48
40	19	39963998.17
41	19	40961825.26
42	19	41962402.31
43	19	42960734.7
44	19	43961586.98
45	19	44960691.49
46	19	45961981.58
47	19	46961661.61
48	19	47965341.18
49	19	48968210.75
50	19	49972380.02
51	19	50975828.66
52	19	51981602
53	19	52986800
54	19	53994471
55	19	55000505
56	19	56008567
57	19	57015169
58	19	58023543
59	19	59030864
33	20	33033312
34	20	34015985
35	20	35005572
36	20	35993074.39
37	20	36985897.85
38	20	37976319.22
39	20	38970710.81
40	20	39962590.85
41	20	40962277.91
42	20	41958617.78
43	20	42958766.38
44	20	43955481.49
45	20	44956186.27
46	20	45953687.73
47	20	46954541.13
48	20	47952522.65
49	20	48955662.63
50	20	49957499.22
51	20	50960995.66
52	20	51963213.65
53	20	52968451
54	20	53972989
55	20	54979978
56	20	55985496
57	20	56992958
58	20	57998357
59	20	59006237
60	20	60011809
61	20	61020408
35	21	35029093
36	21	36017338
37	21	37004058
38	21	37995438
39	21	38984784.95
40	21	39977967.28
41	21	40969251.16
42	21	41965516.69
43	21	42961150.43
44	21	43959402.82
45	21	44955907.05
46	21	45955167.03
47	21	46952402.44
48	21	47952222.9
49	21	48950013.16
50	21	49952187.44
51	21	50953568.84
52	21	51956496.17
53	21	52958379.17
54	21	53963029.36
55	21	54966889.64
56	21	55972607.61
57	21	56977048
58	21	57983382
59	21	58988374
60	21	59995115
61	21	61000537
62	21	62007848
63	21	63014031
37	22	37027021
38	22	38012206
39	22	39002684
40	22	39990345.15
41	22	40983148
42	22	41973049.37
43	22	42968528.42
44	22	43959689.94
45	22	44958120.76
46	22	45952626.36
47	22	46951757.49
48	22	47947940.68
49	22	48947864.39
50	22	49944785.62
51	22	50946609.47
52	22	51946883.51
53	22	52949670.71
54	22	53950892
55	22	54955091
56	22	55957677.68
57	22	56963068.1
58	22	57966808.52
59	22	58972217
60	22	59976275
61	22	60982426
62	22	61986903
63	22	62993709
64	22	63998411
65	22	65005593
39	23	39024230
40	23	40013387
41	23	41000333
42	23	41991820
43	23	42980766
44	23	43974440.98
45	23	44965768.5
46	23	45960197.39
47	23	46954903.56
48	23	47952250.9
49	23	48948510.51
50	23	49947156.68
51	23	50943957.66
52	23	51944773.64
53	23	52944334.94
54	23	53946432.01
55	23	54947262
56	23	55950420.08
57	23	56952297
58	23	57956595.99
59	23	58959623.34
60	23	59964479.22
61	23	60967603.53
62	23	61972932.56
63	23	62976661
64	23	63982480
65	23	64986999
66	23	65993237
67	23	66998128
41	24	41021911
42	24	42007579
43	24	42997885
44	24	43985591
45	24	44979050
46	24	45968360.97
47	24	46962895
48	24	47954029.43
49	24	48951333.72
50	24	49946042.21
51	24	50944765.39
52	24	51940504.71
53	24	52940646.3
54	24	53938877.36
55	24	54940836.64
56	24	55940648.98
57	24	56943612.11
58	24	57944184.5
59	24	58948345.43
60	24	59949641.66
61	24	60954378.13
62	24	61956142.92
63	24	62961161
64	24	63963886
65	24	64969608
66	24	65973011
67	24	66979313
68	24	67983156
69	24	68989662
70	24	69993945
43	25	43018647
44	25	44008009
45	25	44994654
46	25	45986669
47	25	46975774
48	25	47968548.76
49	25	48959613.35
50	25	49954238.16
51	25	50948208.77
52	25	51945559.09
53	25	52941287.5
54	25	53940355.77
55	25	54938043.04
56	25	55938902.82
57	25	56938285.94
58	25	57940066.64
59	25	58940391.11
60	25	59943136.57
61	25	60944452.54
62	25	61947907.38
63	25	62949664.67
64	25	63953849.37
65	25	64956019.75
66	25	65960546.83
67	25	66963950
68	25	67968953
69	25	68972775
70	25	69978046
71	25	70982158
72	25	71988009
73	25	72992807
45	26	45015467
46	26	46001299
47	26	46992346
48	26	47980667
49	26	48973429
50	26	49962988
51	26	50956855.14
52	26	51948113.36
53	26	52945305.63
54	26	53939608.19
55	26	54938291.16
56	26	55934935.54
57	26	56935391.95
58	26	57933273.58
59	26	58934873.49
60	26	59934070.25
61	26	60936746.24
62	26	61936791.81
63	26	62940272.7
64	26	63940987.76
65	26	64945015.32
66	26	65946249.96
67	26	66950930
68	26	67952875
69	26	68957918
70	26	69960397
71	26	70965722
72	26	71968599
73	26	72974246
74	26	73977821
75	26	74984219
76	26	75988631
47	27	47011401
48	27	48001857
49	27	48989501
50	27	49981117
51	27	50970647
52	27	51963130.22
53	27	52954203.28
54	27	53948459.08
55	27	54941996.42
56	27	55939838.03
57	27	56936289.82
58	27	57935751.29
59	27	58933193.52
60	27	59933815.54
61	27	60932476.03
62	27	61934058.2
63	27	62933599.63
64	27	63935810.18
65	27	64936462.07
66	27	65939442.94
67	27	66940609.63
68	27	67944559.4
69	27	68945909
70	27	69950053.4
71	27	70952366.92
72	27	71956736
73	27	72959238
74	27	73963993
75	27	74967192
76	27	75972453
77	27	76976479
78	27	77983553
48	28	48019515
49	28	49009157
50	28	49996286
51	28	50987493
52	28	51975781
53	28	52968190
54	28	53957833
55	28	54951329.85
56	28	55942127.76
57	28	56939791.39
58	28	57935341.65
59	28	58934345.44
60	28	59930785.13
61	28	60931054.82
62	28	61928344.75
63	28	62929669.02
64	28	63927966.23
65	28	64930084.59
66	28	65929139.33
67	28	66931569.41
68	28	67931868.79
69	28	68935610.27
70	28	69936431.3
71	28	70940518.96
72	28	71941785.92
73	28	72946206.68
74	28	73947718
75	28	74952506
76	28	75954707
77	28	76959903
78	28	77962555
79	28	78969769
80	28	79975051
81	28	80982727
82	28	81988492
52	29	51997982
53	29	52985894
54	29	53977198
55	29	54966038
56	29	55958529.28
57	29	56949211.69
58	29	57944532.28
59	29	58939496.71
60	29	59937363.79
61	29	60933457.38
62	29	61932594.8
63	29	62929597.12
64	29	63929764
65	29	64927789.48
66	29	65928868.8
67	29	66927729.49
68	29	67929610.89
69	29	68929429.27
70	29	69932392.08
71	29	70932676.83
72	29	71935820.31
73	29	72936674.38
74	29	73939874.86
75	29	74941523.82
76	29	75945268.97
77	29	76947543.6
78	29	77951916.52
79	29	78954473.1
80	29	79960623
81	29	80965743
82	29	81972378
83	29	82978110
84	29	83985271
54	30	53993879
55	30	54984681
56	30	55972743
57	30	56965056
58	30	57954590.3
59	30	58949311.89
60	30	59941841.32
61	30	60939506.96
62	30	61934333.36
63	30	62933211.14
64	30	63929141.78
65	30	64929240.53
66	30	65926033.64
67	30	66927127.42
68	30	67924844.23
69	30	68926550.36
70	30	69925319.18
71	30	70927719.58
72	30	71926842.81
73	30	72929582.58
74	30	73929407.26
75	30	74932840.24
76	30	75933114.96
77	30	76936887.2
78	30	77938289.2
79	30	78942638.07
80	30	79944552.93
81	30	80950402.62
82	30	81954574.1
83	30	82961041
84	30	83965829
85	30	84973054
86	30	85978463
56	31	55995878
57	31	56983457
58	31	57974729
59	31	58963757
60	31	59957498
61	31	60949398.86
62	31	61944189.64
63	31	62939294.19
64	31	63936840.37
65	31	64932734.42
66	31	65931589.77
67	31	66928202.28
68	31	67927980.16
69	31	68925573.53
70	31	69926021.91
71	31	70924702.55
72	31	71926367.45
73	31	72925174.68
74	31	73926945.73
75	31	74926504.48
76	31	75928827.62
77	31	76929154.3
78	31	77931610.85
79	31	78932851.58
80	31	79936420.77
81	31	80938133.84
82	31	81943176.53
83	31	82947120.3
84	31	83952663
85	31	84957333
86	31	85963757
87	31	86969007
88	31	87975963
58	32	57991863
59	32	58982426
60	32	59970445
61	32	60963725
62	32	61954761
63	32	62949628
64	32	63941689.91
65	32	64939368.14
66	32	65933862.12
67	32	66932717
68	32	67928095.31
69	32	68927964.47
70	32	69924248.54
71	32	70924952.12
72	32	71922075.82
73	32	72923458.95
74	32	73921177.76
75	32	74922858.37
76	32	75921402.73
77	32	76923549.84
78	32	77922852.91
79	32	78925359.51
80	32	79925350.77
81	32	80928832.94
82	32	81929774.03
83	32	82934539.1
84	32	83937575.09
85	32	84942969.66
86	32	85946967
87	32	86953204
88	32	87957574
89	32	88964530
90	32	89969436
60	33	59993945
61	33	60981535
62	33	61973784
63	33	62964036
64	33	63957560
65	33	64949611
66	33	65944148.78
67	33	66939251.11
68	33	67936774.13
69	33	68932246.29
70	33	69930934.64
71	33	70927113.59
72	33	71926752.29
73	33	72923829.09
74	33	73923928.6
75	33	74921594.56
76	33	75922392.01
77	33	76920647.56
78	33	77921827.77
79	33	78920948.42
80	33	79922474.44
81	33	80922132.29
82	33	81924738.73
83	33	82925206.9
84	33	83929303.29
85	33	84932163.66
86	33	85936701.53
87	33	86940291.72
88	33	87945840
89	33	88950048
90	33	89955995
91	33	90960816
92	33	91967386
63	34	62981911
64	34	63971165
65	34	64964552
66	34	65955276
67	34	66949994
68	34	67941825.24
69	34	68939414.85
70	34	69933515.52
71	34	70932209.43
72	34	71927140.51
73	34	72926754.88
74	34	73922475.93
75	34	74922522.87
76	34	75919213.7
77	34	76919914.15
78	34	77917309.24
79	34	78918499.25
80	34	79916521.76
81	34	80917993.02
82	34	81916699.53
83	34	82919118.6
84	34	83918466.76
85	34	84922260.76
86	34	85924311.73
87	34	86928688.62
88	34	87931417.49
89	34	88936669.06
90	34	89940096
91	34	90945700
92	34	91949840
93	34	92956135
94	34	93960490
95	34	94967300
65	35	64982297
66	35	65974697
67	35	66965078
68	35	67958356
69	35	68950338.41
70	35	69944792.32
71	35	70939342.15
72	35	71936594.61
73	35	72931673.44
74	35	73929910.28
75	35	74925810.57
76	35	75924541.57
77	35	76921379.19
78	35	77921145.86
79	35	78918337.57
80	35	79918529.78
81	35	80916288.2
82	35	81916801.75
83	35	82915175.29
84	35	83916496.42
85	35	84915645.76
86	35	85918805.43
87	35	86920674.02
88	35	87924083.29
89	35	88926704.56
90	35	89931292.85
91	35	90934398.62
92	35	91939631.6
93	35	92943220
94	35	93948846
95	35	94952925
96	35	95958980
97	35	96963499
98	35	97969887
67	36	66983305
68	36	67972489
69	36	68965496
70	36	69955877
71	36	70950265.7
72	36	71942092.41
73	36	72939289.19
74	36	73933084.02
75	36	74930945.74
76	36	75925910.74
77	36	76924670
78	36	77920366.34
79	36	78920082.92
80	36	79916377.94
81	36	80916589.7
82	36	81913481.15
83	36	82914126.52
84	36	83911497.73
85	36	84912527.26
86	36	85910610.62
87	36	86913354.76
88	36	87914447.88
89	36	88917835.45
90	36	89919527.93
91	36	90923806.31
92	36	91926173.09
93	36	92931147.17
94	36	93934140.45
95	36	94939710.92
96	36	95943014.47
97	36	96949088.78
98	36	97952635
99	36	98958776
100	36	99962995
101	36	100969318
71	37	70965335
72	37	71958851
73	37	72950604.51
74	37	73944265.87
75	37	74938573.2
76	37	75935073.03
77	37	76930401.6
78	37	77928141.87
79	37	78923990.1
80	37	79922516.44
81	37	80918993.9
82	37	81918209.02
83	37	82915114.18
84	37	83914375.22
85	37	84911789.74
86	37	85911167.44
87	37	86909180.53
88	37	87911315.59
89	37	88912278.14
90	37	89914797.56
91	37	90916537.26
92	37	91919728.48
93	37	92922039.33
94	37	93926394.82
95	37	94929263.85
96	37	95934133.4
97	37	96937177.12
98	37	97941632.32
99	37	98945119.19
100	37	99950331.53
101	37	100954302
102	37	101960008
103	37	102964401
104	37	103970531
73	38	72965700
74	38	73956170
75	38	74949952.77
76	38	75941762.76
77	38	76937945.45
78	38	77932179.98
79	38	78929704.69
80	38	79924517.54
81	38	80923211.39
82	38	81918399.85
83	38	82917554.37
84	38	83913419.12
85	38	84912932.04
86	38	85909260.72
87	38	86908877.49
88	38	87905612.25
89	38	88907450.81
90	38	89907727.87
91	38	90910195.94
92	38	91911038.22
93	38	92914024.31
94	38	93915355.64
95	38	94919358.28
96	38	95921719.05
97	38	96926375.62
98	38	97928692.64
99	38	98932883.6
100	38	99935783.27
101	38	100940606.3
102	38	101944004.7
103	38	102949243
104	38	103953022
105	38	104959001
106	38	105963177
107	38	106969672
75	39	74965840
76	39	75958937
77	39	76950146
78	39	77943990
79	39	78937946
80	39	79934354.75
81	39	80929454.28
82	39	81926930.19
83	39	82922484.03
84	39	83920671.06
85	39	84916433.04
86	39	85914886.1
87	39	86910876.1
88	39	87909501.27
89	39	88905838.16
90	39	89907141.75
91	39	90907298.05
92	39	91908945.75
93	39	92909578.43
94	39	93911592.06
95	39	94912819.7
96	39	95915909.31
97	39	96918286.7
98	39	97922394.84
99	39	98924160.84
100	39	99927727.68
101	39	100930160.8
102	39	101934328.5
103	39	102937243.8
104	39	103941943
105	39	104945711
106	39	105950842
107	39	106954943
108	39	107960515
109	39	108965131
77	40	76966076
78	40	77956146
79	40	78949790
80	40	79941213
81	40	80938245
82	40	81931707.5
83	40	82929240.93
84	40	83923325.66
85	40	84921443.2
86	40	85916296.81
87	40	86914817.34
88	40	87910220.72
89	40	88908879.75
90	40	89904698.76
91	40	90905640.21
92	40	91905035.34
93	40	92906470.66
94	40	93906312.52
95	40	94908040.28
96	40	95908277.62
97	40	96910963.8
98	40	97912740.45
99	40	98916675.08
100	40	99918010.5
101	40	100921458.5
102	40	101923154.2
103	40	102927204.1
104	40	103929449.2
105	40	104934021.8
106	40	105936930
107	40	106942007
108	40	107945303
109	40	108950907
110	40	109954675
111	40	110960837
112	40	111965196
113	40	112971723
79	41	78966022
80	41	79958754
81	41	80950230
82	41	81944380
83	41	82938150
84	41	83934305.71
85	41	84928845.84
86	41	85925781.54
87	41	86920692.47
88	41	87918226.48
89	41	88913444.7
90	41	89911259.2
91	41	90906990.26
92	41	91907188.58
93	41	92906373.17
94	41	93907279
95	41	94906831.11
96	41	95908101.59
97	41	96908101.62
98	41	97910332.65
99	41	98911609.38
100	41	99914340.58
101	41	100915306.5
102	41	101918090.4
103	41	102919453.4
104	41	103922907.7
105	41	104924942.6
106	41	105928928.5
107	41	106931589.7
108	41	107936075.6
109	41	108939141
110	41	109943843
111	41	110947439
112	41	111952689
113	41	112956833
114	41	113962469
115	41	114966849
116	41	115972914
81	42	80966226
82	42	81956661
83	42	82950252
84	42	83941846
85	42	84938260.74
86	42	85931174.09
87	42	86928196.2
88	42	87921967.78
89	42	88919468.15
90	42	89913931.27
91	42	90911745.19
92	42	91906807.15
93	42	92906808.77
94	42	93905083.59
95	42	94905837.44
96	42	95904674.77
97	42	96906016.9
98	42	97905403.61
99	42	98907707.3
100	42	99907467.98
101	42	100910337.6
102	42	101910293.7
103	42	102913092
104	42	103913747.4
105	42	104916982
106	42	105918273.2
107	42	106922119.8
108	42	107924047.5
109	42	108928438.3
110	42	109930718
111	42	110935652
112	42	111938293
113	42	112943478
114	42	113946666
115	42	114952174
116	42	115955759
117	42	116961686
118	42	117965249
119	42	118971465
83	43	82966377
84	43	83959527
85	43	84950778
86	43	85944637
87	43	86938067.19
88	43	87933794.21
89	43	88927648.65
