 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 11, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Kr in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Krypton [36] , Mass = 85.9106 amu

 Target Density =  1.5890E-04 g/cm3 = 2.3049E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    071.43    017.34
      C      6    028.57    082.66
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 400.00 MeV   5.940E+01  6.157E-02  405.83 mm    11.33 mm     3.26 mm
 450.00 MeV   5.777E+01  5.560E-02  459.50 mm    13.65 mm     3.39 mm
 500.00 MeV   5.624E+01  5.074E-02  514.67 mm    15.72 mm     3.52 mm
 550.00 MeV   5.478E+01  4.671E-02  571.32 mm    17.65 mm     3.65 mm
 600.00 MeV   5.338E+01  4.330E-02  629.47 mm    19.48 mm     3.78 mm
 650.00 MeV   5.202E+01  4.038E-02  689.14 mm    21.23 mm     3.92 mm
 700.00 MeV   5.070E+01  3.785E-02  750.38 mm    22.93 mm     4.05 mm
 800.00 MeV   4.815E+01  3.367E-02  877.70 mm    29.16 mm     4.34 mm
 900.00 MeV   4.573E+01  3.036E-02    1.01 m     34.79 mm     4.64 mm
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.5889E-03                 eV / Angstrom
  1.5889E-02                keV / micron
  1.5889E-02                MeV / mm
  1.0000E+00                keV / (ug/cm2)
  1.0000E+00                MeV / (mg/cm2)
  1.0000E+03                keV / (mg/cm2)
  6.8938E+00                 eV / (1E15 atoms/cm2)
  3.4828E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
