 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Bromine in Silicon (gas).txt

 Ion = Bromine [35] , Mass = 76.92138 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Si     14    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 140.00 MeV   1.910E+03  3.970E+00   21.10 um     6683 A      6639 A
 150.00 MeV   1.933E+03  3.745E+00   22.14 um     6859 A      6718 A
 160.00 MeV   1.948E+03  3.546E+00   23.17 um     7027 A      6794 A
 170.00 MeV   1.952E+03  3.369E+00   24.20 um     7190 A      6866 A
 180.00 MeV   1.945E+03  3.209E+00   25.23 um     7348 A      6936 A
 200.00 MeV   1.943E+03  2.934E+00   27.30 um     7929 A      7069 A
 225.00 MeV   1.940E+03  2.654E+00   29.88 um     8755 A      7227 A
 250.00 MeV   1.928E+03  2.425E+00   32.47 um     9514 A      7377 A
 275.00 MeV   1.910E+03  2.235E+00   35.08 um     1.02 um     7521 A
 300.00 MeV   1.886E+03  2.074E+00   37.73 um     1.09 um     7662 A
 325.00 MeV   1.860E+03  1.935E+00   40.41 um     1.16 um     7799 A
 350.00 MeV   1.831E+03  1.816E+00   43.13 um     1.22 um     7935 A
 375.00 MeV   1.801E+03  1.711E+00   45.89 um     1.28 um     8070 A
 400.00 MeV   1.770E+03  1.618E+00   48.70 um     1.34 um     8204 A
 450.00 MeV   1.708E+03  1.461E+00   54.47 um     1.58 um     8472 A
 500.00 MeV   1.648E+03  1.333E+00   60.46 um     1.79 um     8743 A
 550.00 MeV   1.590E+03  1.227E+00   66.66 um     2.00 um     9019 A
 600.00 MeV   1.535E+03  1.137E+00   73.09 um     2.20 um     9301 A
 650.00 MeV   1.483E+03  1.060E+00   79.75 um     2.39 um     9590 A
 700.00 MeV   1.434E+03  9.937E-01   86.63 um     2.59 um     9886 A
 800.00 MeV   1.346E+03  8.839E-01  101.09 um     3.30 um     1.05 um
 900.00 MeV   1.269E+03  7.970E-01  116.45 um     3.95 um     1.12 um
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  4.9770E-01                 eV / Angstrom
  4.9770E+00                keV / micron
  4.9770E+00                MeV / mm
  2.1442E-02                keV / (ug/cm2)
  2.1442E-02                MeV / (mg/cm2)
  2.1442E+01                keV / (mg/cm2)
  1.0000E+00                 eV / (1E15 atoms/cm2)
  1.3378E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
