 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Hy (gas).txt

 Ion = Krypton [36] , Mass = 77.92036 amu

 Target Density =  8.2650E-07 g/cm3 = 4.9377E+17 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 MeV   3.296E+02  7.744E-01    9.38 m    223.78 mm    87.43 mm
 110.00 MeV   3.211E+02  7.156E-01   10.01 m    240.46 mm    88.12 mm
 120.00 MeV   3.125E+02  6.656E-01   10.64 m    256.87 mm    88.79 mm
 130.00 MeV   3.040E+02  6.225E-01   11.30 m    273.15 mm    89.46 mm
 140.00 MeV   2.958E+02  5.851E-01   11.97 m    289.34 mm    90.13 mm
 150.00 MeV   2.880E+02  5.522E-01   12.67 m    305.51 mm    90.80 mm
 160.00 MeV   2.819E+02  5.231E-01   13.38 m    321.60 mm    91.47 mm
 170.00 MeV   2.770E+02  4.970E-01   14.10 m    337.51 mm    92.14 mm
 180.00 MeV   2.713E+02  4.736E-01   14.84 m    353.29 mm    92.82 mm
 200.00 MeV   2.598E+02  4.332E-01   16.36 m    413.86 mm    94.21 mm
 225.00 MeV   2.484E+02  3.921E-01   18.35 m    500.58 mm    96.01 mm
 250.00 MeV   2.389E+02  3.584E-01   20.43 m    580.37 mm    97.88 mm
 275.00 MeV   2.311E+02  3.304E-01   22.58 m    655.38 mm    99.82 mm
 300.00 MeV   2.246E+02  3.067E-01   24.80 m    726.73 mm   101.84 mm
 325.00 MeV   2.191E+02  2.864E-01   27.08 m    795.10 mm   103.93 mm
 350.00 MeV   2.143E+02  2.688E-01   29.41 m    860.93 mm   106.09 mm
 375.00 MeV   2.102E+02  2.533E-01   31.80 m    924.56 mm   108.31 mm
 400.00 MeV   2.066E+02  2.396E-01   34.22 m    986.25 mm   110.58 mm
 450.00 MeV   2.003E+02  2.164E-01   39.20 m      1.21 m    115.29 mm
 500.00 MeV   1.947E+02  1.976E-01   44.32 m      1.41 m    120.19 mm
 550.00 MeV   1.896E+02  1.819E-01   49.59 m      1.60 m    125.26 mm
 600.00 MeV   1.846E+02  1.687E-01   54.99 m      1.77 m    130.50 mm
 650.00 MeV   1.797E+02  1.573E-01   60.55 m      1.94 m    135.89 mm
 700.00 MeV   1.747E+02  1.475E-01   66.26 m      2.10 m    141.45 mm
 800.00 MeV   1.647E+02  1.312E-01   78.19 m      2.69 m    153.11 mm
 900.00 MeV   1.546E+02  1.184E-01   90.88 m      3.24 m    165.53 mm
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  4.9377E-06                 eV / Angstrom
  4.9377E-05                keV / micron
  4.9377E-05                MeV / mm
  5.9744E-01                keV / (ug/cm2)
  5.9744E-01                MeV / (mg/cm2)
  5.9744E+02                keV / (mg/cm2)
  1.0000E+00                 eV / (1E15 atoms/cm2)
  1.1472E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
