 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 08, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Carbon (gas).txt

 Ion = Strontium [38] , Mass = 87.9056 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      C      6    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 MeV   5.299E+01  1.536E-01   11.90 um     3466 A      2777 A
 110.00 MeV   5.377E+01  1.419E-01   12.72 um     3666 A      2821 A
 120.00 MeV   5.440E+01  1.319E-01   13.54 um     3850 A      2862 A
 130.00 MeV   5.491E+01  1.233E-01   14.35 um     4022 A      2901 A
 140.00 MeV   5.531E+01  1.158E-01   15.16 um     4184 A      2938 A
 150.00 MeV   5.561E+01  1.093E-01   15.95 um     4338 A      2973 A
 160.00 MeV   5.582E+01  1.035E-01   16.75 um     4485 A      3007 A
 170.00 MeV   5.595E+01  9.827E-02   17.54 um     4627 A      3040 A
 180.00 MeV   5.606E+01  9.361E-02   18.33 um     4764 A      3072 A
 200.00 MeV   5.567E+01  8.558E-02   19.92 um     5272 A      3134 A
 225.00 MeV   5.504E+01  7.739E-02   21.92 um     5991 A      3208 A
 250.00 MeV   5.487E+01  7.071E-02   23.94 um     6641 A      3279 A
 275.00 MeV   5.452E+01  6.516E-02   25.96 um     7238 A      3348 A
 300.00 MeV   5.404E+01  6.046E-02   28.00 um     7798 A      3415 A
 325.00 MeV   5.346E+01  5.643E-02   30.07 um     8330 A      3481 A
 350.00 MeV   5.280E+01  5.293E-02   32.15 um     8842 A      3546 A
 375.00 MeV   5.209E+01  4.987E-02   34.27 um     9337 A      3611 A
 400.00 MeV   5.136E+01  4.716E-02   36.41 um     9821 A      3675 A
 450.00 MeV   4.983E+01  4.257E-02   40.79 um     1.16 um     3804 A
 500.00 MeV   4.829E+01  3.885E-02   45.32 um     1.33 um     3933 A
 550.00 MeV   4.678E+01  3.575E-02   49.98 um     1.48 um     4065 A
 600.00 MeV   4.533E+01  3.314E-02   54.80 um     1.63 um     4198 A
 650.00 MeV   4.394E+01  3.090E-02   59.77 um     1.78 um     4335 A
 700.00 MeV   4.263E+01  2.896E-02   64.90 um     1.92 um     4475 A
 800.00 MeV   4.024E+01  2.576E-02   75.61 um     2.45 um     4765 A
 900.00 MeV   3.813E+01  2.322E-02   86.94 um     2.93 um     5070 A
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
