 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Kr in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Krypton [36] , Mass = 77.92036 amu

 Target Density =  1.9072E-04 g/cm3 = 2.7665E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    071.43    017.34
      C      6    028.57    082.66
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 300.00 MeV   4.270E+02  4.995E-01  252.40 mm     7.34 mm     2.45 mm
 325.00 MeV   4.197E+02  4.662E-01  273.73 mm     7.93 mm     2.50 mm
 350.00 MeV   4.129E+02  4.374E-01  295.42 mm     8.51 mm     2.56 mm
 375.00 MeV   4.064E+02  4.120E-01  317.46 mm     9.07 mm     2.61 mm
 400.00 MeV   4.002E+02  3.897E-01  339.84 mm     9.60 mm     2.66 mm
 450.00 MeV   3.885E+02  3.518E-01  385.65 mm    11.59 mm     2.78 mm
 500.00 MeV   3.774E+02  3.210E-01  432.81 mm    13.38 mm     2.89 mm
 550.00 MeV   3.668E+02  2.955E-01  481.36 mm    15.04 mm     3.01 mm
 600.00 MeV   3.565E+02  2.739E-01  531.31 mm    16.62 mm     3.12 mm
 650.00 MeV   3.465E+02  2.554E-01  582.70 mm    18.14 mm     3.25 mm
 700.00 MeV   3.368E+02  2.393E-01  635.57 mm    19.63 mm     3.37 mm
 800.00 MeV   3.182E+02  2.129E-01  745.95 mm    25.08 mm     3.63 mm
 900.00 MeV   3.006E+02  1.919E-01  862.79 mm    30.04 mm     3.90 mm
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.7665E-04                 eV / Angstrom
  2.7665E-03                keV / micron
  2.7665E-03                MeV / mm
  1.4506E-01                keV / (ug/cm2)
  1.4506E-01                MeV / (mg/cm2)
  1.4506E+02                keV / (mg/cm2)
  1.0000E+00                 eV / (1E15 atoms/cm2)
  5.0759E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
