 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Bromine in Hydrogen (gas).txt

 Ion = Bromine [35] , Mass = 76.92138 amu

 Target Density =  8.2650E-07 g/cm3 = 4.9377E+17 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 500.00 MeV   1.899E+02  1.855E-01   44.59 m      1.42 m    121.16 mm
 550.00 MeV   1.832E+02  1.707E-01   50.02 m      1.61 m    126.17 mm
 600.00 MeV   1.769E+02  1.583E-01   55.64 m      1.80 m    131.41 mm
 650.00 MeV   1.709E+02  1.476E-01   61.46 m      1.98 m    136.90 mm
 700.00 MeV   1.651E+02  1.384E-01   67.49 m      2.15 m    142.62 mm
 800.00 MeV   1.540E+02  1.232E-01   80.18 m      2.80 m    154.82 mm
 900.00 MeV   1.436E+02  1.111E-01   93.80 m      3.40 m    168.06 mm
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  4.9377E-06                 eV / Angstrom
  4.9377E-05                keV / micron
  4.9377E-05                MeV / mm
  5.9744E-01                keV / (ug/cm2)
  5.9744E-01                MeV / (mg/cm2)
  5.9744E+02                keV / (mg/cm2)
  1.0000E+00                 eV / (1E15 atoms/cm2)
  1.1701E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
