 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 08, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Silicon.txt

 Ion = Strontium [38] , Mass = 87.9056 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Si     14    100.00    100.00
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 275.00 MeV   4.612E+01  6.279E-02   34.13 um     9920 A      8282 A
 300.00 MeV   4.588E+01  5.829E-02   36.47 um     1.05 um     8405 A
 325.00 MeV   4.554E+01  5.442E-02   38.82 um     1.10 um     8523 A
 350.00 MeV   4.511E+01  5.107E-02   41.19 um     1.15 um     8639 A
 375.00 MeV   4.463E+01  4.812E-02   43.59 um     1.20 um     8751 A
 400.00 MeV   4.410E+01  4.552E-02   46.02 um     1.25 um     8863 A
 450.00 MeV   4.297E+01  4.112E-02   50.96 um     1.44 um     9081 A
 500.00 MeV   4.180E+01  3.753E-02   56.04 um     1.61 um     9298 A
 550.00 MeV   4.062E+01  3.456E-02   61.26 um     1.77 um     9515 A
 600.00 MeV   3.946E+01  3.204E-02   66.64 um     1.93 um     9733 A
 650.00 MeV   3.834E+01  2.988E-02   72.17 um     2.09 um     9954 A
 700.00 MeV   3.727E+01  2.801E-02   77.87 um     2.24 um     1.02 um
 800.00 MeV   3.528E+01  2.493E-02   89.74 um     2.80 um     1.06 um
 900.00 MeV   3.348E+01  2.249E-02  102.28 um     3.32 um     1.11 um
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom
  2.3211E+02                keV / micron
  2.3211E+02                MeV / mm
  1.0000E+00                keV / (ug/cm2)
  1.0000E+00                MeV / (mg/cm2)
  1.0000E+03                keV / (mg/cm2)
  4.6637E+01                 eV / (1E15 atoms/cm2)
  5.6550E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
