 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Kr in Carbon.txt

 Ion = Krypton [36] , Mass = 77.92036 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      C      6    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  80.00 MeV   1.002E+03  3.019E+00   10.88 um     3201 A      3075 A
  90.00 MeV   1.009E+03  2.736E+00   11.76 um     3441 A      3123 A
 100.00 MeV   1.012E+03  2.505E+00   12.63 um     3664 A      3168 A
 110.00 MeV   1.013E+03  2.312E+00   13.50 um     3872 A      3210 A
 120.00 MeV   1.013E+03  2.148E+00   14.37 um     4069 A      3250 A
 130.00 MeV   1.011E+03  2.008E+00   15.25 um     4258 A      3289 A
 140.00 MeV   1.009E+03  1.885E+00   16.12 um     4439 A      3326 A
 150.00 MeV   1.005E+03  1.778E+00   17.00 um     4614 A      3362 A
 160.00 MeV   1.005E+03  1.683E+00   17.88 um     4783 A      3397 A
 170.00 MeV   1.005E+03  1.598E+00   18.76 um     4946 A      3430 A
 180.00 MeV   1.001E+03  1.522E+00   19.64 um     5105 A      3464 A
 200.00 MeV   9.906E+02  1.391E+00   21.41 um     5696 A      3528 A
 225.00 MeV   9.805E+02  1.258E+00   23.66 um     6527 A      3607 A
 250.00 MeV   9.695E+02  1.149E+00   25.92 um     7278 A      3683 A
 275.00 MeV   9.577E+02  1.058E+00   28.22 um     7975 A      3758 A
 300.00 MeV   9.454E+02  9.815E-01   30.54 um     8631 A      3832 A
 325.00 MeV   9.327E+02  9.159E-01   32.90 um     9256 A      3905 A
 350.00 MeV   9.197E+02  8.589E-01   35.28 um     9858 A      3978 A
 375.00 MeV   9.066E+02  8.090E-01   37.70 um     1.04 um     4051 A
 400.00 MeV   8.934E+02  7.649E-01   40.16 um     1.10 um     4124 A
 450.00 MeV   8.672E+02  6.903E-01   45.19 um     1.31 um     4271 A
 500.00 MeV   8.414E+02  6.297E-01   50.37 um     1.50 um     4420 A
 550.00 MeV   8.164E+02  5.794E-01   55.70 um     1.68 um     4571 A
 600.00 MeV   7.923E+02  5.369E-01   61.20 um     1.85 um     4726 A
 650.00 MeV   7.693E+02  5.005E-01   66.87 um     2.02 um     4884 A
 700.00 MeV   7.473E+02  4.689E-01   72.71 um     2.18 um     5046 A
 800.00 MeV   7.065E+02  4.170E-01   84.89 um     2.78 um     5382 A
 900.00 MeV   6.696E+02  3.759E-01   97.75 um     3.33 um     5735 A
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.1296E+00                 eV / Angstrom
  1.1296E+01                keV / micron
  1.1296E+01                MeV / mm
  5.0139E-02                keV / (ug/cm2)
  5.0139E-02                MeV / (mg/cm2)
  5.0139E+01                keV / (mg/cm2)
  1.0000E+00                 eV / (1E15 atoms/cm2)
  2.3800E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
