 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Helium (gas).txt

 Ion = Strontium [38] , Mass = 88.907 amu

 Target Density =  1.3000E-04 g/cm3 = 1.9557E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     He      2    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 120.00 MeV   7.440E+01  1.369E-01  198.61 mm     4.97 mm     2.98 mm
 130.00 MeV   7.494E+01  1.280E-01  208.89 mm     5.18 mm     3.00 mm
 140.00 MeV   7.528E+01  1.202E-01  219.11 mm     5.38 mm     3.02 mm
 150.00 MeV   7.546E+01  1.134E-01  229.30 mm     5.57 mm     3.04 mm
 160.00 MeV   7.550E+01  1.073E-01  239.47 mm     5.76 mm     3.05 mm
 170.00 MeV   7.543E+01  1.019E-01  249.65 mm     5.93 mm     3.07 mm
 180.00 MeV   7.538E+01  9.705E-02  259.84 mm     6.11 mm     3.09 mm
 200.00 MeV   7.537E+01  8.869E-02  280.22 mm     6.76 mm     3.12 mm
 225.00 MeV   7.425E+01  8.017E-02  305.90 mm     7.67 mm     3.16 mm
 250.00 MeV   7.325E+01  7.323E-02  331.96 mm     8.51 mm     3.19 mm
 275.00 MeV   7.212E+01  6.745E-02  358.39 mm     9.30 mm     3.23 mm
 300.00 MeV   7.092E+01  6.257E-02  385.26 mm    10.05 mm     3.26 mm
 325.00 MeV   6.969E+01  5.838E-02  412.60 mm    10.77 mm     3.30 mm
 350.00 MeV   6.844E+01  5.475E-02  440.42 mm    11.47 mm     3.33 mm
 375.00 MeV   6.721E+01  5.157E-02  468.76 mm    12.15 mm     3.37 mm
 400.00 MeV   6.599E+01  4.876E-02  497.61 mm    12.82 mm     3.40 mm
 450.00 MeV   6.364E+01  4.401E-02  556.94 mm    15.32 mm     3.47 mm
 500.00 MeV   6.140E+01  4.014E-02  618.44 mm    17.62 mm     3.55 mm
 550.00 MeV   5.927E+01  3.693E-02  682.18 mm    19.79 mm     3.62 mm
 600.00 MeV   5.727E+01  3.422E-02  748.17 mm    21.89 mm     3.70 mm
 650.00 MeV   5.537E+01  3.190E-02  816.45 mm    23.92 mm     3.78 mm
 700.00 MeV   5.357E+01  2.989E-02  887.04 mm    25.92 mm     3.86 mm
 800.00 MeV   5.025E+01  2.658E-02    1.04 m     33.35 mm     4.04 mm
 900.00 MeV   4.723E+01  2.396E-02    1.19 m     40.14 mm     4.23 mm
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.3000E-03                 eV / Angstrom
  1.3000E-02                keV / micron
  1.3000E-02                MeV / mm
  1.0000E+00                keV / (ug/cm2)
  1.0000E+00                MeV / (mg/cm2)
  1.0000E+03                keV / (mg/cm2)
  6.6471E+00                 eV / (1E15 atoms/cm2)
  3.8782E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
